Date,Produk,Kategori_MAE,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-12-09,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-10,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-11,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-12,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-13,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-14,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-15,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-16,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-17,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-18,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-19,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-20,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-21,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-22,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-23,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-24,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-25,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-26,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-27,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-28,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-29,GB-DS-30,tinggi,2.0,0.05,1.95,1.95
2025-12-30,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-31,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-11-25,GB-DS-10,tinggi,0.0,0.0,0.0,0.0
2025-11-26,GB-DS-10,tinggi,0.0,0.03,-0.03,0.03
2025-11-27,GB-DS-10,tinggi,0.0,0.09,-0.09,0.09
2025-11-28,GB-DS-10,tinggi,0.0,0.0,0.0,0.0
2025-11-29,GB-DS-10,tinggi,0.0,0.03,-0.03,0.03
2025-11-30,GB-DS-10,tinggi,0.0,0.09,-0.09,0.09
2025-12-01,GB-DS-10,tinggi,0.0,0.0,0.0,0.0
2025-12-02,GB-DS-10,tinggi,0.0,0.02,-0.02,0.02
2025-12-03,GB-DS-10,tinggi,0.0,0.09,-0.09,0.09
2025-12-04,GB-DS-10,tinggi,0.0,0.0,-0.0,0.0
2025-12-05,GB-DS-10,tinggi,0.0,0.02,-0.02,0.02
2025-12-06,GB-DS-10,tinggi,0.0,0.08,-0.08,0.08
2025-12-07,GB-DS-10,tinggi,0.0,0.01,-0.01,0.01
2025-12-08,GB-DS-10,tinggi,0.0,0.02,-0.02,0.02
2025-12-09,GB-DS-10,tinggi,0.0,0.08,-0.08,0.08
2025-12-10,GB-DS-10,tinggi,0.0,0.02,-0.02,0.02
2025-12-11,GB-DS-10,tinggi,0.0,0.02,-0.02,0.02
2025-12-12,GB-DS-10,tinggi,0.0,0.07,-0.07,0.07
2025-12-13,GB-DS-10,tinggi,0.0,0.02,-0.02,0.02
2025-12-14,GB-DS-10,tinggi,0.0,0.01,-0.01,0.01
2025-12-15,GB-DS-10,tinggi,0.0,0.07,-0.07,0.07
2025-12-16,GB-DS-10,tinggi,0.0,0.03,-0.03,0.03
2025-12-17,GB-DS-10,tinggi,0.0,0.01,-0.01,0.01
2025-12-18,GB-DS-10,tinggi,0.0,0.07,-0.07,0.07
2025-12-19,GB-DS-10,tinggi,0.0,0.03,-0.03,0.03
2025-12-20,GB-DS-10,tinggi,0.0,0.01,-0.01,0.01
2025-12-21,GB-DS-10,tinggi,0.0,0.06,-0.06,0.06
